CATEGORY,CALL GROUPS,final_case_type,CASE DESC,occ_date,x_coordinate,y_coordinate,census_tract
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7671232,662734,8902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7678971,671054,8500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7680505,673778,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7684999,681197,9202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7688203,682616,9301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/8/2016,7690820,676349,9804
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7627477,655017,6404
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7640671,685222,4900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7642250,688340,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7644226,686113,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7661964,672034,802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7666323,698958,7600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7675138,681900,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7675561,677620,8201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7679962,681715,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7681192,680999,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7681905,674154,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7688221,672378,9102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/9/2016,7690445,679615,9702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/10/2016,7625033,708983,4200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/10/2016,7649772,686973,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/10/2016,7667236,697909,7600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/10/2016,7669419,684809,1702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/10/2016,7670287,667767,602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/10/2016,7673297,666353,602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/10/2016,7675249,696350,7900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/10/2016,7676647,696413,7900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/10/2016,7679553,678559,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/10/2016,7679691,671055,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/10/2016,7681781,671305,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/10/2016,7687703,681937,9301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/11/2016,7634382,709451,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/11/2016,7635479,664141,6602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/11/2016,7635781,704618,3901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/11/2016,7640671,685222,4900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/11/2016,7640944,682428,5200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/11/2016,7643288,686573,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/11/2016,7643609,717692,7201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/11/2016,7663732,664024,8700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/11/2016,7674844,671835,8302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/11/2016,7684258,674441,9101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7629395,711145,4101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7634350,659397,6403
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7640297,686132,4800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7642170,679428,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7642551,681177,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7644567,715763,7201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7644567,715763,7201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7645289,698492,3401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7648627,697828,3301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7660245,689460,2702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7662005,701429,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7670181,672701,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7673578,696365,7800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7675310,695517,7900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7677929,699957,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7679682,683035,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/12/2016,7680263,675585,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/13/2016,7642260,706005,3801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/13/2016,7644343,684308,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/13/2016,7646693,690798,2203
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/13/2016,7649345,700085,3601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/13/2016,7659346,702789,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/13/2016,7669618,670662,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/13/2016,7677748,697016,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/13/2016,7680282,684930,9302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/13/2016,7680285,676176,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/13/2016,7689861,673108,9101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/14/2016,7637422,703751,3902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/14/2016,7640656,684270,5200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/14/2016,7645219,685967,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/14/2016,7647537,682110,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/14/2016,7658320,689236,2702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/14/2016,7670888,692938,2903
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/14/2016,7677906,697804,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/14/2016,7678995,676315,8400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/15/2016,7633424,660089,6502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/15/2016,7640944,682428,5200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/15/2016,7647864,708283,7202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/15/2016,7648361,683043,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/15/2016,7648420,682695,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/15/2016,7650312,681931,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/15/2016,7658328,680481,1400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/15/2016,7660125,671382,401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/15/2016,7668570,682160,1601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/15/2016,7683325,674719,9101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/15/2016,7686892,673088,9102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/16/2016,7627357,671665,6801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/16/2016,7633427,660104,6502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/16/2016,7636516,667013,6602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/16/2016,7644403,680495,5700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/16/2016,7644474,683137,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/16/2016,7669226,677004,1601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/16/2016,7671369,663597,8902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/16/2016,7673401,703248,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/16/2016,7674567,683615,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/17/2016,7624615,711997,4200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/17/2016,7632656,710066,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/17/2016,7641331,704197,3801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/17/2016,7645396,684306,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/17/2016,7646889,702493,3701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/17/2016,7651604,675916,1000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7659423,668507,401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7661998,685269,1801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7662744,673185,802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7669397,687057,1701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7670211,671293,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7678136,681601,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7679135,680274,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7683622,666865,8901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7686526,682989,9302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/2/2016,7686778,681784,9202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7638349,706521,3901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7638756,688793,4900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7641983,697893,3501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7643036,700712,3803
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7646446,699551,3702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7649605,683425,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7654721,682083,1201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7657919,687972,2600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7670181,672701,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7679147,689758,8002
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7679318,687840,8002
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7679701,684067,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7684891,694288,9501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/3/2016,7690502,692835,9501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7629428,711793,4101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7636890,706745,3901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7644617,685348,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7644876,685088,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7648193,682467,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7651083,693553,3302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7651249,698121,3301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7657097,672734,902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7657576,688062,2600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7666052,675540,701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/4/2016,7667810,684850,1701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/5/2016,7624762,709247,4200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,12/5/2016,7634918,704718,4002
