"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT13","WT14","WT16","WT18","WT21","WT22"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-01","2.91",,"0.00",,"0.0","0.0",,"53","38",,"  290","  280","12.1","14.1",,"    1",,,,,,,,"    1",,"    1",,"    1",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-02","4.92",,"0.00",,"0.0","0.0",,"55","34",,"  120","  120","17.9","21.9","    1","    1",,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-03","1.57",,"0.00",,"0.0","0.0",,"47","35",,"  100","  100","6.9","8.1",,,,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-04","1.79",,"0.00",,"0.0","0.0",,"52","41",,"  110","  120","10.1","12.1","    1",,,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-05","9.40",,"0.14",,"0.0","0.0",,"52","43",,"  200","  210","21.9","28.0",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-06","9.84",,"0.04",,"0.0","0.0",,"52","43",,"  230","  230","23.9","33.1",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-07","4.70",,"0.02",,"0.0","0.0",,"50","35",,"  200","  200","16.1","21.0",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-08","2.68",,"0.00",,"0.0","0.0",,"47","30",,"  330","  340","10.1","15.0",,"    1",,,,,,,,"    1",,,,"    1","    1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-09","3.80",,"0.00",,"0.0","0.0",,"45","33",,"  190","  180","8.1","8.9","    1",,,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-10","3.13",,"0.00",,"0.0","0.0",,"48","38",,"  310","  310","8.1","8.9","    1",,,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-11","3.58",,"0.00",,"0.0","0.0",,"46","42",,"  150","  190","12.1","13.0","    1",,,,,,,,,"    1","    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-12","4.25",,"0.01",,"0.0","0.0",,"55","43",,"  230","  220","13.0","15.0","    1",,,,,,,,,,"    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-13","3.36",,"0.01",,"0.0","0.0",,"53","43",,"  200","  200","13.0","16.1","    1",,,,,,,,,,"    1",,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-14","3.13",,"0.00",,"0.0","0.0",,"51","37",,"  300","  300","10.1","12.1","    1",,,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-15","3.80",,"0.00",,"0.0","0.0",,"61","38",,"  120","  120","17.9","23.0","    1","    1",,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-16","5.59",,"0.05",,"0.0","0.0",,"51","38",,"  310","  310","17.9","21.0","    1",,,,,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-17","2.68",,"0.00",,"0.0","0.0",,"46","37",,"   90","   70","10.1","12.1",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-18","6.49",,"0.00",,"0.0","0.0",,"48","35",,"  210","  200","16.1","19.9",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-19","5.82",,"0.09",,"0.0","0.0",,"55","37",,"   50","   50","15.0","19.9","    1",,,,,,,,,,"    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-20","4.70",,"0.04",,"0.0","0.0",,"49","34",,"  200","  240","17.9","21.9",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-21","9.17",,"0.03",,"0.0","0.0",,"46","40",,"  200","  200","17.0","21.9","    1",,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-22","12.75",,"0.39",,"0.0","0.0",,"48","37",,"  180","  180","23.9","34.9","    1",,,,,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-23","7.38",,"0.06",,"0.0","0.0",,"48","36",,"  280","  320","17.9","23.0",,,,,,,"    1",,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-24","7.38",,"0.01",,"0.0","0.0",,"52","37",,"  170","  170","21.0","25.9",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-25","9.17",,"0.12",,"0.0","0.0",,"50","37",,"  310","  310","25.1","32.0",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-26","5.37",,"0.00",,"0.0","0.0",,"49","37",,"  110","  110","15.0","17.9",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-27","6.93",,"0.10",,"0.0","0.0",,"53","42",,"  200","  190","16.1","19.9","    1",,,,,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-02-28","9.62",,"0.15",,"0.0","0.0",,"57","46",,"  210","  210","17.0","21.0","    1",,,,,,,,,"    1","    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-01","4.47",,"0.00",,"0.0","0.0",,"61","51",,"  200","  130","12.1","15.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-02","5.37",,"0.00",,"0.0","0.0",,"57","42",,"  330","  320","21.0","28.0","    1",,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-03","2.46",,"0.00",,"0.0","0.0",,"51","35",,"  280","  280","10.1","13.0",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-04","7.61",,"0.00",,"0.0","0.0",,"57","29",,"  100","  100","17.9","23.0","    1",,,,,,,,,"    1",,,,"    1",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-05","10.29",,"0.14",,"0.0","0.0",,"46","41",,"  120","  120","17.9","21.9","    1",,,,,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-06","6.93",,"0.36",,"0.0","0.0",,"46","41",,"  200","  200","17.0","21.0","    1",,,,,,,,,"    1","    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-07","4.47",,"0.00",,"0.0","0.0",,"56","36",,"  280","  280","10.1","12.1",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-08","4.25",,"0.00",,"0.0","0.0",,"59","30",,"  300","   60","12.1","17.0","    1",,,,,,,,,,,,,"    1",
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-09","2.01",,"0.00",,"0.0","0.0",,"59","31",,"  120","  310","6.0","8.1",,,,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-10","2.46",,"0.00",,"0.0","0.0",,"49","34",,"   80","   60","6.9","8.9",,,,,,,,,,,"    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-11","3.36",,"0.00",,"0.0","0.0",,"53","44",,"  110","  110","12.1","13.0",,,,,,,"    1",,,"    1","    1","    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-12","6.26",,"0.00",,"0.0","0.0",,"62","46",,"  170","  230","14.1","17.0","    1",,,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-13","4.47",,"0.00",,"0.0","0.0",,"63","46",,"  110","  130","10.1","13.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-14","7.61",,"0.00",,"0.0","0.0",,"62","48",,"  220","  220","17.9","23.0",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-15","5.14",,"0.00",,"0.0","0.0",,"63","47",,"  200","  190","15.0","16.1",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-16","7.83",,"0.05",,"0.0","0.0",,"52","40",,"  290","  290","25.1","31.1",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-17","6.26",,"0.00",,"0.0","0.0",,"50","38",,"  290","  270","14.1","17.9",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-18","2.91",,"0.00",,"0.0","0.0",,"54","37",,"  210","  190","12.1","17.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-19","9.62",,"0.50",,"0.0","0.0",,"52","36",,"  110","  110","23.0","29.1","    1",,,,,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-20","14.09",,"0.39",,"0.0","0.0",,"55","40",,"  260","  250","29.1","38.9",,,,"    1",,,,,,"    1",,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-21","8.05",,"0.00",,"0.0","0.0",,"50","38",,"  260","  250","21.0","25.1",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-22","3.13",,"0.01",,"0.0","0.0",,"46","35",,"  290","  280","15.0","19.9",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-23","2.46",,"0.00",,"0.0","0.0",,"50","34",,"  120","  280","8.9","12.1","    1",,,,,,,,,"    1",,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-24","7.16",,"0.00",,"0.0","0.0",,"55","36",,"  100","   90","19.9","23.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-25","2.46",,"0.01",,"0.0","0.0",,"62","39",,"   90","  100","8.9","12.1",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-26","2.24",,"0.00",,"0.0","0.0",,"54","39",,"  110","  110","8.9","12.1",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-27","3.80",,"0.00",,"0.0","0.0",,"65","42",,"  260","  130","14.1","15.0","    1",,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-28","4.47",,"0.00",,"0.0","0.0",,"67","46",,"  310","  320","10.1","14.1",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-29","3.80",,"0.00",,"0.0","0.0",,"69","48",,"  280","  280","10.1","13.0",,,,,,,,,,,,"    1",,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-30","3.13",,"0.00",,"0.0","0.0",,"77","43",,"  300","  300","10.1","13.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-03-31","3.80",,"0.00",,"0.0","0.0",,"77","46",,"  260","  260","15.0","17.9",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-01","4.92",,"0.00",,"0.0","0.0","60","65","51",,"  200","  180","14.1","17.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-02","3.36",,"0.00",,"0.0","0.0","57","66","49",,"  320","  320","12.1","14.1",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-03","1.12",,"0.00",,"0.0","0.0","53","65","44",,"  110","  110","6.9","8.1",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-04","7.83",,"0.19",,"0.0","0.0","57","62","52",,"  200","  200","19.9","25.1","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-05","12.08",,"0.20",,"0.0","0.0","57","60","51",,"  220","  220","23.0","30.0","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-06","10.51",,"0.61",,"0.0","0.0","53","57","44",,"  230","  220","21.9","31.1","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-07","12.75",,"0.15",,"0.0","0.0","49","53","42",,"  210","  200","30.0","40.9","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-08","3.58",,"0.01",,"0.0","0.0","47","54","42",,"  190","  280","8.9","12.1",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-09","2.91",,"0.00",,"0.0","0.0","47","56","39",,"  110","  110","8.1","8.9",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-10","11.63",,"0.14",,"0.0","0.0","54","59","45",,"  200","  330","23.0","29.1","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-11","3.80",,"0.00",,"0.0","0.0","49","58","39",,"  320","  320","13.0","17.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-12","6.04",,"0.09",,"0.0","0.0","47","54","39",,"  220","  220","18.1","25.1","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-13","10.29",,"0.05",,"0.0","0.0","46","53","39",,"  240","  250","23.9","29.1","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-14","5.59",,"0.07",,"0.0","0.0","45","52","41",,"  310","  310","19.9","21.9","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-15","5.14",,"0.08",,"0.0","0.0","46","56","38",,"   60","  300","14.1","18.1",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-16","4.70",,"0.01",,"0.0","0.0","47","59","37",,"  110","  110","21.0","23.9","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-17","4.92",,"0.01",,"0.0","0.0","47","60","36",,"  310","  300","12.1","14.1",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-18","2.91",,"0.06",,"0.0","0.0","51","59","46",,"  320","  310","8.9","12.1","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-19","8.05",,"0.41",,"0.0","0.0","53","58","50",,"  210","  210","19.9","23.9","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-20","4.03",,"0.01",,"0.0","0.0","53","59","48",,"  350","  350","13.0","18.1","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-21","2.01",,"0.03",,"0.0","0.0","51","55","43",,"  330","  330","8.9","13.0","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-22","4.70",,"0.00",,"0.0","0.0","49","65","37",,"   80","   90","17.0","23.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-23","5.82",,"0.00",,"0.0","0.0","53","68","38",,"  320","  320","18.1","23.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-24","5.82",,"0.00",,"0.0","0.0","56","75","39",,"  330","  320","17.0","23.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-25","3.80",,"0.00",,"0.0","0.0","59","77","44",,"  340","  350","12.1","17.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-26","3.58",,"0.00",,"0.0","0.0","60","78","46",,"  280",,"10.1",,"    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-27","4.25",,"0.00",,"0.0","0.0","61","73","45",,"  340","  350","15.0","23.9",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-28","7.61",,"0.00",,"0.0","0.0","58","67","52",,"  220","  220","23.9","30.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-29","13.42",,"0.07",,"0.0","0.0","56","59","44",,"  310","  320","21.9","29.1","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-04-30","7.16",,"0.00",,"0.0","0.0","48","58","42",,"  300","  300","19.9","23.9",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-01","5.14",,"0.00",,"0.0","0.0","50","72","40",,"  290","  360","13.0","16.1",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-02","7.61",,"0.00",,"0.0","0.0","60","79","43",,"  320","  340","17.0","25.1",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-03","6.93",,"0.00",,"0.0","0.0","63","79","49",,"  320","  320","17.0","23.9",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-04","8.95",,"0.00",,"0.0","0.0","66","83","47",,"   80","   80","28.0","36.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-05","9.40",,"0.00",,"0.0","0.0","71","85","49",,"   90","   90","28.0","33.1",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-06","5.37",,"0.00",,"0.0","0.0","68","84","53",,"  170","  160","14.1","17.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-07","4.47",,"0.00",,"0.0","0.0","65","75","50",,"  180","  190","14.1","19.9",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-08","2.24",,"0.00",,"0.0","0.0","60","70","53",,"  260","  290","6.9","8.9","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-09","3.80",,"0.00",,"0.0","0.0","60","79","51",,"  320","  330","13.0","17.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-10","4.47",,"0.00",,"0.0","0.0","67","83","53",,"  280","  280","12.1","14.1",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-11","3.80",,"0.00",,"0.0","0.0","69","85","57",,"  320","  320","12.1","15.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-12","4.03",,"0.17",,"0.0","0.0","69","71","59",,"   80","   90","13.0","16.1","    1",,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-13","9.62",,"0.00",,"0.0","0.0","62","70","51",,"  230","  230","25.9","36.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-14","4.03",,"0.00",,"0.0","0.0","56","67","46",,"  290","  290","14.1","17.0",,,,,,,,,,,,,,,
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","2013-05-15","3.80",,"0.03",,"0.0","0.0","56","59","50",,"  110","  100","10.1","12.1",,,,,,,,,,,,,,,
